v1,v2
ham,"Hey, are we meeting tomorrow?"
spam,Congratulations! You have won a free iPhone. Click the link to claim.
ham,Let’s catch up for lunch today.
spam,Exclusive offer just for you! Buy 1 get 1 free.
ham,Can you send me the notes from class?
spam,You have been selected as a winner! Claim your cash prize now.
ham,Are you available for a project discussion today?
spam,Win a lottery worth 10 lakhs! Hurry up!
ham,I will call you after the meeting.
spam,Limited time deal! Click to get 70% off on all items.
